"Block Id";"Id";"Name";"Description";"DataType Id";"Comment"
"S10.G00.00";"001";"Nom du logiciel utilisé";"Logiciel utilisé pour établir les déclarations._x000D_
L'alimentation systématique de cette rubrique est obligatoire pour faciliter le dialogue avec les éditeurs et les émetteurs en cas d'anomalie détectée par les récepteurs._x000D_
Mettre 'Logiciel maison' dans le cas où l'émetteur utilise un logiciel de constitution de la DSN non acheté mais développé en interne.";"Type_Alphanumeric_1-20";"Envoi.NomLogiciel"
"S10.G00.00";"002";"Nom de l'éditeur";"Nom de l'éditeur du logiciel de paie utilisé._x000D_
Mettre 'Logiciel maison' dans le cas où l'émetteur utilise un logiciel de constitution de la DSN non acheté mais développé en interne.";"Type_Alphanumeric_1-20";"Envoi.EditeurLogiciel"
"S10.G00.00";"003";"Numéro de version du logiciel utilisé";"Numéro de la version du logiciel de paie utilisé, s'il existe.";"Type_Alphanumeric_1-10";"Envoi.VersionLogiciel"
"S10.G00.00";"004";"Code de conformité en pré-contrôle";"Sera précisé suite à finalisation de l’outil de validation de messages proposé aux éditeurs et déclarants.";"Type_Alphanumeric_1-50";"Envoi.CodeConformite"
"S10.G00.00";"005";"Code envoi du fichier d'essai ou réel";"Les fichiers d'essai sont recommandés lors des premiers échanges avec un des services DSN proposés.";"N4DS_Essai";"Envoi.EssaiReel"
"S10.G00.00";"006";"Numéro de version de la norme utilisée";;"DSN_Version";"Envoi.VersionNorme"
"S10.G00.00";"007";"Point de dépôt";;"Point_Depot";"Envoi.Depot"
"S10.G00.00";"008";"Type de l'envoi";"Cette rubrique permet de définir s'il s'agit d'un envoi normal, ou d'un envoi contenant uniquement des déclarations mensuelles ""néant"".";"DSN_Envoi_Type";"Envoi.Type"
"S10.G00.01";"001";"Siren de l'émetteur de l'envoi";"Identifiant de l'entreprise ayant élaboré le présent envoi._x000D__x000D_
Dans le cas d'un tiers déclarant ou d'un concentrateur, c'est l'identifiant SIREN de ce tiers qui doit figurer ici._x000D__x000D_
Attention : cette mention n'est pas exploitée vis-à-vis de l'autorisation de déposer une DSN ; pour ce dépôt il convient que l'acteur déposant la DSN sur le site de net entreprises (http://www.net-entreprises.fr/) ou de la MSA (http://www.msa.fr) soit inscrit comme administrateur sur le site et ait validé la charte_x000D__x000D_
Pour les réceptions de DSN en machine to machine une enveloppe gérant sera à associer au message et ne figure pas à ce stade dans le cahier technique.";"Identifiant_Siren_strict";"Emetteur.Siren"
"S10.G00.01";"002";"Nic de l'émetteur de l'envoi";"Identifiant établissement (Numéro Interne de Classement)._x000D_
Un identifiant à zéro n'est pas admis.";"Identifiant_Nic_strict";"Emetteur.Nic"
"S10.G00.01";"003";"Nom ou raison sociale de l'émetteur";;"Type_Alphanumeric_1-60";"Emetteur.Nom"
